,ID1,ID2,Relation
280,capec384,capec389,ParentOf
281,capec22,capec39,ParentOf
282,capec390,capec391,ParentOf
283,capec391,capec392,ParentOf
284,capec391,capec393,ParentOf
285,capec391,capec394,ParentOf
286,capec390,capec395,ParentOf
287,capec395,capec397,ParentOf
288,capec395,capec398,ParentOf
289,capec395,capec399,ParentOf
290,capec267,capec4,ParentOf
291,capec248,capec40,ParentOf
292,capec395,capec400,ParentOf
293,capec440,capec401,ParentOf
294,capec401,capec402,ParentOf
295,capec150,capec406,ParentOf
296,capec406,capec163,CanPrecede
297,capec406,capec675,CanPrecede
298,capec416,capec407,ParentOf
299,capec410,capec407,ParentOf
300,capec407,capec163,CanPrecede
301,capec242,capec41,ParentOf
302,capec134,capec41,ParentOf
303,capec407,capec412,ParentOf
304,capec407,capec413,ParentOf
305,capec407,capec414,ParentOf
306,capec407,capec415,ParentOf
307,capec416,capec417,ParentOf
308,capec417,capec418,ParentOf
309,capec100,capec42,ParentOf
310,capec417,capec420,ParentOf
311,capec417,capec421,ParentOf
312,capec417,capec422,ParentOf
313,capec417,capec423,ParentOf
314,capec417,capec424,ParentOf
315,capec416,capec425,ParentOf
316,capec416,capec426,ParentOf
317,capec416,capec427,ParentOf
318,capec427,capec428,ParentOf
319,capec427,capec429,ParentOf
320,capec267,capec43,ParentOf
321,capec427,capec433,ParentOf
322,capec427,capec434,ParentOf
323,capec427,capec435,ParentOf
324,capec100,capec44,ParentOf
325,capec23,capec44,ParentOf
326,capec441,capec442,ParentOf
327,capec444,capec443,ParentOf
328,capec438,capec444,ParentOf
329,capec444,capec445,ParentOf
330,capec444,capec446,ParentOf
331,capec438,capec447,ParentOf
332,capec442,capec448,ParentOf
333,capec100,capec45,ParentOf
334,capec441,capec452,ParentOf
335,capec441,capec456,ParentOf
336,capec456,capec457,ParentOf
337,capec457,capec529,CanPrecede
338,capec456,capec458,ParentOf
339,capec473,capec459,ParentOf
340,capec100,capec46,ParentOf
341,capec46,capec8,PeerOf
342,capec46,capec10,PeerOf
343,capec15,capec460,ParentOf
344,capec460,capec676,CanPrecede
345,capec115,capec461,ParentOf
346,capec54,capec462,ParentOf
347,capec97,capec463,ParentOf
348,capec554,capec464,ParentOf
349,capec554,capec465,ParentOf
350,capec94,capec466,ParentOf
351,capec62,capec467,ParentOf
352,capec242,capec468,ParentOf
353,capec227,capec469,ParentOf
354,capec100,capec47,ParentOf
355,capec66,capec470,ParentOf
356,capec159,capec471,ParentOf
357,capec541,capec472,ParentOf
358,capec151,capec473,ParentOf
359,capec473,capec474,ParentOf
360,capec473,capec475,ParentOf
361,capec475,capec542,CanPrecede
362,capec473,capec476,ParentOf
363,capec473,capec477,ParentOf
364,capec203,capec478,ParentOf
365,capec473,capec479,ParentOf
366,capec212,capec48,ParentOf
367,capec115,capec480,ParentOf
368,capec161,capec481,ParentOf
369,capec125,capec482,ParentOf
370,capec473,capec485,ParentOf
371,capec125,capec486,ParentOf
372,capec125,capec487,ParentOf
373,capec125,capec488,ParentOf
374,capec125,capec489,ParentOf
375,capec112,capec49,ParentOf
376,capec49,capec600,CanPrecede
377,capec49,capec151,CanPrecede
378,capec49,capec560,CanPrecede
379,capec49,capec561,CanPrecede
380,capec49,capec653,CanPrecede
381,capec125,capec490,ParentOf
382,capec230,capec491,ParentOf
383,capec130,capec492,ParentOf
