,ID1,ID2,Relation
321,capec433,capec427,ChildOf
322,capec434,capec427,ChildOf
323,capec435,capec427,ChildOf
324,capec44,capec100,ChildOf
325,capec44,capec23,ChildOf
326,capec442,capec441,ChildOf
327,capec443,capec444,ChildOf
328,capec444,capec438,ChildOf
329,capec445,capec444,ChildOf
330,capec446,capec444,ChildOf
331,capec447,capec438,ChildOf
332,capec448,capec442,ChildOf
333,capec45,capec100,ChildOf
334,capec452,capec441,ChildOf
335,capec456,capec441,ChildOf
336,capec457,capec456,ChildOf
337,capec529,capec457,CanFollow
338,capec458,capec456,ChildOf
339,capec459,capec473,ChildOf
340,capec46,capec100,ChildOf
341,capec8,capec46,PeerOf
342,capec10,capec46,PeerOf
343,capec460,capec15,ChildOf
344,capec676,capec460,CanFollow
345,capec461,capec115,ChildOf
346,capec462,capec54,ChildOf
347,capec463,capec97,ChildOf
348,capec464,capec554,ChildOf
349,capec465,capec554,ChildOf
350,capec466,capec94,ChildOf
351,capec467,capec62,ChildOf
352,capec468,capec242,ChildOf
353,capec469,capec227,ChildOf
354,capec47,capec100,ChildOf
355,capec470,capec66,ChildOf
356,capec471,capec159,ChildOf
357,capec472,capec541,ChildOf
358,capec473,capec151,ChildOf
359,capec474,capec473,ChildOf
360,capec475,capec473,ChildOf
361,capec542,capec475,CanFollow
362,capec476,capec473,ChildOf
363,capec477,capec473,ChildOf
364,capec478,capec203,ChildOf
365,capec479,capec473,ChildOf
366,capec48,capec212,ChildOf
367,capec480,capec115,ChildOf
368,capec481,capec161,ChildOf
369,capec482,capec125,ChildOf
370,capec485,capec473,ChildOf
371,capec486,capec125,ChildOf
372,capec487,capec125,ChildOf
373,capec488,capec125,ChildOf
374,capec489,capec125,ChildOf
375,capec49,capec112,ChildOf
376,capec600,capec49,CanFollow
377,capec151,capec49,CanFollow
378,capec560,capec49,CanFollow
379,capec561,capec49,CanFollow
380,capec653,capec49,CanFollow
381,capec490,capec125,ChildOf
382,capec491,capec230,ChildOf
383,capec492,capec130,ChildOf
384,capec493,capec130,ChildOf
385,capec494,capec130,ChildOf
386,capec495,capec130,ChildOf
387,capec496,capec130,ChildOf
388,capec497,capec169,ChildOf
389,capec498,capec545,ChildOf
390,capec499,capec117,ChildOf
391,capec5,capec220,ChildOf
392,capec50,capec212,ChildOf
393,capec600,capec50,CanFollow
394,capec151,capec50,CanFollow
395,capec560,capec50,CanFollow
396,capec561,capec50,CanFollow
397,capec653,capec50,CanFollow
398,capec500,capec253,ChildOf
399,capec501,capec499,ChildOf
400,capec501,capec173,ChildOf
401,capec502,capec148,ChildOf
402,capec503,capec122,ChildOf
403,capec504,capec173,ChildOf
404,capec505,capec616,ChildOf
405,capec506,capec173,ChildOf
406,capec508,capec651,ChildOf
407,capec560,capec508,CanFollow
408,capec509,capec652,ChildOf
409,capec151,capec509,CanFollow
410,capec51,capec203,ChildOf
411,capec510,capec21,ChildOf
412,capec511,capec444,ChildOf
413,capec516,capec444,ChildOf
414,capec517,capec447,ChildOf
415,capec518,capec447,ChildOf
416,capec519,capec447,ChildOf
417,capec52,capec267,ChildOf
418,capec520,capec444,ChildOf
419,capec521,capec447,ChildOf
420,capec522,capec439,ChildOf
421,capec523,capec439,ChildOf
422,capec524,capec439,ChildOf
423,capec528,capec125,ChildOf
424,capec529,capec169,ChildOf
425,capec53,capec267,ChildOf
426,capec530,capec531,ChildOf
427,capec531,capec534,ChildOf
428,capec532,capec444,ChildOf
429,capec533,capec186,ChildOf
430,capec534,capec440,ChildOf
431,capec535,capec531,ChildOf
432,capec536,capec176,ChildOf
433,capec537,capec444,ChildOf
434,capec538,capec444,ChildOf
435,capec539,capec444,ChildOf
436,capec54,capec116,ChildOf
437,capec540,capec123,ChildOf
438,capec541,capec224,ChildOf
439,capec542,capec549,ChildOf
440,capec662,capec542,CanFollow
441,capec543,capec194,ChildOf
442,capec89,capec543,CanFollow
443,capec544,capec194,ChildOf
444,capec545,capec116,ChildOf
445,capec546,capec545,ChildOf
446,capec547,capec607,ChildOf
447,capec607,capec548,CanFollow
448,capec55,capec49,ChildOf
449,capec600,capec55,CanFollow
450,capec151,capec55,CanFollow
451,capec560,capec55,CanFollow
452,capec561,capec55,CanFollow
453,capec653,capec55,CanFollow
454,capec550,capec542,ChildOf
455,capec551,capec542,ChildOf
456,capec552,capec542,ChildOf
457,capec555,capec560,ChildOf
458,capec151,capec555,CanFollow
459,capec556,capec542,ChildOf
460,capec558,capec542,ChildOf
461,capec559,capec601,ChildOf
462,capec151,capec560,CanFollow
463,capec561,capec653,ChildOf
464,capec151,capec561,CanFollow
465,capec165,capec561,CanFollow
466,capec549,capec561,CanFollow
467,capec545,capec561,CanFollow
468,capec562,capec17,ChildOf
469,capec563,capec17,ChildOf
470,capec564,capec542,ChildOf
471,capec565,capec49,ChildOf
472,capec600,capec565,CanFollow
473,capec151,capec565,CanFollow
474,capec560,capec565,CanFollow
475,capec561,capec565,CanFollow
476,capec653,capec565,CanFollow
477,capec568,capec569,ChildOf
478,capec600,capec568,CanFollow
479,capec151,capec568,CanFollow
480,capec560,capec568,CanFollow
481,capec561,capec568,CanFollow
482,capec653,capec568,CanFollow
483,capec569,capec116,ChildOf
484,capec57,capec157,ChildOf
485,capec571,capec161,ChildOf
486,capec572,capec165,ChildOf
487,capec573,capec169,ChildOf
488,capec574,capec169,ChildOf
489,capec575,capec169,ChildOf
490,capec576,capec169,ChildOf
491,capec577,capec169,ChildOf
492,capec578,capec176,ChildOf
493,capec579,capec542,ChildOf
494,capec58,capec1,ChildOf
495,capec58,capec180,ChildOf
496,capec580,capec169,ChildOf
497,capec581,capec580,ChildOf
498,capec582,capec607,ChildOf
499,capec583,capec582,ChildOf
500,capec584,capec582,ChildOf
501,capec585,capec582,ChildOf
502,capec587,capec103,ChildOf
503,capec588,capec63,ChildOf
504,capec589,capec603,ChildOf
505,capec59,capec196,ChildOf
506,capec590,capec603,ChildOf
507,capec591,capec63,ChildOf
508,capec592,capec63,ChildOf
509,capec593,capec21,ChildOf
510,capec595,capec594,ChildOf
511,capec596,capec595,ChildOf
512,capec597,capec126,ChildOf
513,capec598,capec194,ChildOf
514,capec599,capec195,ChildOf
515,capec6,capec137,ChildOf
516,capec60,capec593,ChildOf
517,capec600,capec560,ChildOf
518,capec151,capec600,CanFollow
519,capec653,capec600,CanFollow
520,capec601,capec607,ChildOf
521,capec603,capec607,ChildOf
522,capec604,capec601,ChildOf
523,capec605,capec601,ChildOf
524,capec606,capec620,ChildOf
525,capec608,capec97,ChildOf
526,capec609,capec157,ChildOf
527,capec61,capec593,ChildOf
528,capec610,capec240,ChildOf
529,capec611,capec616,ChildOf
530,capec89,capec611,CanFollow
531,capec543,capec611,CanFollow
532,capec612,capec292,ChildOf
533,capec613,capec292,ChildOf
534,capec614,capec186,ChildOf
535,capec615,capec616,ChildOf
536,capec616,capec154,ChildOf
537,capec691,capec616,CanFollow
538,capec617,capec616,ChildOf
539,capec618,capec292,ChildOf
540,capec619,capec292,ChildOf
541,capec62,capec21,ChildOf
542,capec620,capec212,ChildOf
543,capec621,capec189,ChildOf
544,capec622,capec189,ChildOf
545,capec623,capec189,ChildOf
546,capec625,capec624,ChildOf
547,capec626,capec395,ChildOf
548,capec627,capec148,ChildOf
549,capec628,capec627,ChildOf
550,capec63,capec242,ChildOf
551,capec107,capec63,CanFollow
552,capec630,capec616,ChildOf
553,capec89,capec630,CanFollow
554,capec543,capec630,CanFollow
555,capec631,capec616,ChildOf
556,capec89,capec631,CanFollow
557,capec543,capec631,CanFollow
558,capec632,capec616,ChildOf
559,capec89,capec632,CanFollow
560,capec543,capec632,CanFollow
561,capec633,capec194,ChildOf
562,capec634,capec651,ChildOf
563,capec634,capec545,ChildOf
564,capec635,capec165,ChildOf
565,capec636,capec165,ChildOf
566,capec637,capec150,ChildOf
567,capec638,capec452,ChildOf
568,capec639,capec545,ChildOf
569,capec64,capec267,ChildOf
570,capec640,capec251,ChildOf
571,capec641,capec159,ChildOf
572,capec642,capec17,ChildOf
573,capec643,capec309,ChildOf
574,capec561,capec643,CanFollow
575,capec545,capec643,CanFollow
576,capec165,capec643,CanFollow
577,capec644,capec653,ChildOf
578,capec151,capec644,CanFollow
579,capec165,capec644,CanFollow
580,capec549,capec644,CanFollow
581,capec545,capec644,CanFollow
582,capec645,capec652,ChildOf
583,capec151,capec645,CanFollow
584,capec646,capec169,ChildOf
585,capec647,capec150,ChildOf
586,capec648,capec150,ChildOf
587,capec649,capec635,ChildOf
588,capec65,capec157,ChildOf
589,capec37,capec65,CanFollow
590,capec650,capec17,ChildOf
591,capec651,capec117,ChildOf
592,capec652,capec560,ChildOf
593,capec151,capec652,CanFollow
594,capec653,capec560,ChildOf
595,capec151,capec653,CanFollow
596,capec654,capec504,ChildOf
597,capec655,capec572,ChildOf
598,capec656,capec98,ChildOf
599,capec657,capec186,ChildOf
600,capec66,capec248,ChildOf
601,capec660,capec251,ChildOf
602,capec661,capec121,ChildOf
603,capec68,capec661,CanFollow
604,capec660,capec661,CanFollow
605,capec662,capec94,ChildOf
606,capec663,capec74,ChildOf
607,capec663,capec184,ChildOf
608,capec141,capec663,CanFollow
609,capec212,capec663,PeerOf
610,capec124,capec663,PeerOf
611,capec180,capec663,PeerOf
612,capec664,capec115,ChildOf
613,capec665,capec276,ChildOf
614,capec665,capec390,CanFollow
615,capec458,capec665,PeerOf
616,capec148,capec665,PeerOf
617,capec151,capec665,PeerOf
618,capec666,capec125,ChildOf
619,capec667,capec616,ChildOf
620,capec668,capec115,ChildOf
621,capec148,capec668,CanFollow
622,capec669,capec184,ChildOf
623,capec673,capec669,CanFollow
624,capec67,capec100,ChildOf
625,capec67,capec135,ChildOf
626,capec670,capec444,ChildOf
627,capec669,capec670,CanFollow
628,capec671,capec447,ChildOf
629,capec672,capec444,ChildOf
630,capec673,capec444,ChildOf
631,capec674,capec447,ChildOf
632,capec675,capec116,ChildOf
633,capec37,capec675,CanFollow
634,capec676,capec248,ChildOf
635,capec677,capec534,ChildOf
636,capec678,capec444,ChildOf
637,capec679,capec1,ChildOf
638,capec679,capec180,ChildOf
639,capec68,capec233,ChildOf
640,capec680,capec1,ChildOf
641,capec680,capec180,ChildOf
642,capec681,capec1,ChildOf
643,capec681,capec180,ChildOf
644,capec682,capec212,ChildOf
645,capec69,capec233,ChildOf
646,capec8,capec69,CanFollow
647,capec9,capec69,CanFollow
648,capec10,capec69,CanFollow
649,capec67,capec69,CanFollow
650,capec691,capec690,ChildOf
651,capec184,capec691,CanFollow
652,capec444,capec691,CanFollow
653,capec630,capec691,PeerOf
654,capec692,capec691,ChildOf
655,capec693,capec691,ChildOf
656,capec694,capec169,ChildOf
657,capec695,capec616,ChildOf
658,capec696,capec663,ChildOf
659,capec697,capec194,ChildOf
660,capec158,capec697,CanFollow
661,capec94,capec697,CanFollow
662,capec698,capec542,ChildOf
663,capec699,capec651,ChildOf
664,capec7,capec66,ChildOf
665,capec70,capec49,ChildOf
666,capec600,capec70,CanFollow
667,capec151,capec70,CanFollow
668,capec560,capec70,CanFollow
669,capec561,capec70,CanFollow
670,capec653,capec70,CanFollow
671,capec700,capec161,ChildOf
672,capec700,capec70,CanFollow
673,capec700,capec560,CanFollow
674,capec701,capec94,ChildOf
675,capec151,capec701,CanFollow
676,capec148,capec701,CanFollow
677,capec701,capec98,CanFollow
678,capec702,capec180,ChildOf
679,capec71,capec267,ChildOf
680,capec72,capec267,ChildOf
681,capec73,capec165,ChildOf
682,capec592,capec73,CanFollow
683,capec75,capec176,ChildOf
684,capec76,capec126,ChildOf
685,capec77,capec22,ChildOf
686,capec78,capec267,ChildOf
687,capec79,capec267,ChildOf
688,capec8,capec100,ChildOf
689,capec64,capec80,PeerOf
690,capec71,capec80,PeerOf
691,capec80,capec267,ChildOf
692,capec81,capec268,ChildOf
693,capec83,capec250,ChildOf
694,capec84,capec250,ChildOf
695,capec85,capec580,ChildOf
696,capec63,capec85,CanFollow
697,capec86,capec591,ChildOf
698,capec86,capec588,ChildOf
699,capec86,capec592,ChildOf
700,capec87,capec115,ChildOf
701,capec88,capec248,ChildOf
702,capec89,capec151,ChildOf
703,capec9,capec100,ChildOf
704,capec90,capec272,ChildOf
705,capec90,capec114,ChildOf
706,capec92,capec128,ChildOf
707,capec93,capec268,ChildOf
708,capec592,capec93,CanFollow
709,capec151,capec94,CanFollow
710,capec668,capec94,CanFollow
711,capec95,capec54,ChildOf
712,capec96,capec603,ChildOf
713,capec97,capec192,ChildOf
714,capec20,capec97,CanFollow
715,capec98,capec151,ChildOf
716,capec89,capec98,CanFollow
717,capec543,capec98,CanFollow
718,capec611,capec98,CanFollow
719,capec630,capec98,CanFollow
720,capec631,capec98,CanFollow
721,capec632,capec98,CanFollow
722,cwe5,cwe319,ChildOf
723,cwe6,cwe334,ChildOf
724,cwe7,cwe756,ChildOf
725,cwe8,cwe668,ChildOf
726,cwe9,cwe266,ChildOf
727,cwe11,cwe489,ChildOf
728,cwe12,cwe756,ChildOf
729,cwe13,cwe260,ChildOf
730,cwe14,cwe733,ChildOf
731,cwe15,cwe642,ChildOf
732,cwe15,cwe610,ChildOf
733,cwe15,cwe20,ChildOf
734,cwe20,cwe707,ChildOf
735,cwe345,cwe20,PeerOf
736,cwe22,cwe20,CanFollow
737,cwe41,cwe20,CanFollow
738,cwe74,cwe20,CanFollow
739,cwe119,cwe20,CanFollow
740,cwe770,cwe20,CanFollow
741,cwe22,cwe706,ChildOf
742,cwe22,cwe668,ChildOf
743,cwe23,cwe22,ChildOf
744,cwe24,cwe23,ChildOf
745,cwe25,cwe23,ChildOf
746,cwe26,cwe23,ChildOf
747,cwe27,cwe23,ChildOf
748,cwe28,cwe23,ChildOf
749,cwe29,cwe23,ChildOf
750,cwe30,cwe23,ChildOf
751,cwe31,cwe23,ChildOf
752,cwe32,cwe23,ChildOf
753,cwe33,cwe23,ChildOf
754,cwe34,cwe23,ChildOf
755,cwe35,cwe23,ChildOf
756,cwe36,cwe22,ChildOf
757,cwe37,cwe36,ChildOf
758,cwe37,cwe160,ChildOf
759,cwe38,cwe36,ChildOf
760,cwe39,cwe36,ChildOf
761,cwe40,cwe36,ChildOf
762,cwe41,cwe706,ChildOf
763,cwe42,cwe41,ChildOf
764,cwe42,cwe162,ChildOf
765,cwe43,cwe42,ChildOf
766,cwe43,cwe163,ChildOf
767,cwe44,cwe41,ChildOf
768,cwe45,cwe44,ChildOf
769,cwe45,cwe165,ChildOf
770,cwe46,cwe41,ChildOf
771,cwe46,cwe162,ChildOf
